num_sources,mic_dist,sample_num,angles_true,angles_pred,angles_true_str,angles_pred_str
1,0.5,1,0,20.849264509729423,0,20.85
1,0.5,2,0,15.854198850645453,0,15.85
1,0.5,3,0,25.812999661133816,0,25.81
1,0.5,4,0,19.71538405265041,0,19.72
1,0.5,5,0,4.956885410803869,0,4.96
1,1.0,1,0,15.118163298501203,0,15.12
1,1.0,2,0,9.60894128181088,0,9.61
1,1.0,3,0,10.722441386930043,0,10.72
1,1.0,4,0,19.71538405265041,0,19.72
1,1.0,5,0,17.234525473424558,0,17.23
1,3.0,1,0,17.01203279632211,0,17.01
1,3.0,2,0,15.85419885066331_69.49576178693455,0,"15.85, 69.50"
1,3.0,3,0,14.345333000680462_47.724462434324316_68.65415110206405,0,"14.35, 47.72, 68.65"
1,3.0,4,0,18.097983222250274,0,18.10
1,3.0,5,0,14.864919410030845,0,14.86
1,5.0,1,0,12.840115156283748,0,12.84
1,5.0,2,0,9.370543221221926,0,9.37
1,5.0,3,0,9.125976603653019,0,9.13
1,5.0,4,0,93.41076921798772_54.462899133830916_12.481457988338025,0,"93.41, 54.46, 12.48"
1,5.0,5,0,11.923590867121822_68.33025980169897,0,"11.92, 68.33"
1,0.5,1,120,120.40307144393704,120,120.40
1,0.5,2,120,122.24359702729474,120,122.24
1,0.5,3,120,114.63902564490166,120,114.64
1,0.5,4,120,114.63902564490166,120,114.64
1,0.5,5,120,120.85986085949364,120,120.86
1,1.0,1,120,116.82070080396626,120,116.82
1,1.0,2,120,116.16195713771575,120,116.16
1,1.0,3,120,117.04113030632622,120,117.04
1,1.0,4,120,116.16195713771575,120,116.16
1,1.0,5,120,115.94320543303616,120,115.94
1,3.0,1,120,116.08899450304658,120,116.09
1,3.0,2,120,115.14454488197048_136.99688872464063,120,"115.14, 137.00"
1,3.0,3,120,115.57951785548408,120,115.58
1,3.0,4,120,115.21693199854379,120,115.22
1,3.0,5,120,115.43435268156323,120,115.43
1,5.0,1,120,112.49482591308954_96.96332556663172,120,"112.49, 96.96"
1,5.0,2,120,112.40976856417065_96.60708576769696,120,"112.41, 96.61"
1,5.0,3,120,111.85815168462503,120,111.86
1,5.0,4,120,111.98525676945148,120,111.99
1,5.0,5,120,111.26647403902636,120,111.27
1,0.5,1,150,146.65334247999846,150,146.65
1,0.5,2,150,146.65334247999846,150,146.65
1,0.5,3,150,146.65334247999846,150,146.65
1,0.5,4,150,151.22538072966702,150,151.23
1,0.5,5,150,143.23144445021344,150,143.23
1,1.0,1,150,142.5797588082841,150,142.58
1,1.0,2,150,145.2493026077632,150,145.25
1,1.0,3,150,143.89320476647683,150,143.89
